# This Table of Poisson Probabilities was copied from a table found at
# https://ux1.eiu.edu/~aalvarado2/levine-smume6_topic_POIS.pdf, which
# seems substantially identical to a similar copy of this table at
# http://fs2.american.edu/baron/www/204/OnlineSections/PoissonTable.pdf.
# (This latter table indicates a copyright:
#     Copyright © 2017 Pearson Education, Inc.
# No copyright information is for the first table is shown.)

# Since this is essentially a "copy-and-paste" of a PDF document to a
# text document, some formatting peculiarities arose.  The letter "L"
# occurring alone on the first line and many subsequent lines
# corresponds to the letter λ heading each tier of the table.  The
# lines beginning with "X" should be thought of as column headings:
# the "X" heads a column of X values, and the numbers appearing after
# the "X" indicate various values for lambda.  The rows that follow
# such column-heading rows start with a value for X and show the
# Poisson values for that value of X and the various values of lambda
# given in the header row.

# There seem to be two substantial errors in this table, as indicated
# in the test file test_poisson_density.cpp.  In several other cases,
# there seem to be rounding errors, so that the tolerance value for
# comparison between the four-decimal-point table values and the
# values computed by the poisson_density function had to be increased
# from 0.00005 (5e-1) to 0.000055 (5.5e-1) to avoid test failures.

# Evidence that the problematic values really are errors in the table
# and not in the poisson_density function implementation is given by
# comparing the discrepant values with the Table III in Appendix A of
# the book
#
#   Gupta, Bhisham C., Irwin Guttman, and Kalanka Jayalath. Statistics
#   and Probability with Applications for Engineers and Scientists Using
#   Minitab, R and JMP. Second edition. Hoboken, NJ: John Wiley & Sons,
#   Inc., 2020. Print.
#
# There, the values corresponding to the values in this table that
# disagree with the function really are within 0.00005 of the value
# given by the poisson_density function.

L
X 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0
0 0.9048 0.8187 0.7408 0.6703 0.6065 0.5488 0.4966 0.4493 0.4066 0.3679
1 0.0905 0.1637 0.2222 0.2681 0.3033 0.3293 0.3476 0.3595 0.3659 0.3679
2 0.0045 0.0164 0.0333 0.0536 0.0758 0.0988 0.1217 0.1438 0.1647 0.1839
3 0.0002 0.0011 0.0033 0.0072 0.0126 0.0198 0.0284 0.0383 0.0494 0.0613
4 0.0000 0.0001 0.0003 0.0007 0.0016 0.0030 0.0050 0.0077 0.0111 0.0153
5 0.0000 0.0000 0.0000 0.0001 0.0002 0.0004 0.0007 0.0012 0.0020 0.0031
6 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0002 0.0003 0.0005
7 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001
L
X 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.0
0 0.3329 0.3012 0.2725 0.2466 0.2231 0.2019 0.1827 0.1653 0.1496 0.1353
1 0.3662 0.3614 0.3543 0.3452 0.3347 0.3230 0.3106 0.2975 0.2842 0.2707
2 0.2014 0.2169 0.2303 0.2417 0.2510 0.2584 0.2640 0.2678 0.2700 0.2707
3 0.0738 0.0867 0.0998 0.1128 0.1255 0.1378 0.1496 0.1607 0.1710 0.1804
4 0.0203 0.0260 0.0324 0.0395 0.0471 0.0551 0.0636 0.0723 0.0812 0.0902
5 0.0045 0.0062 0.0084 0.0111 0.0141 0.0176 0.0216 0.0260 0.0309 0.0361
6 0.0008 0.0012 0.0018 0.0026 0.0035 0.0047 0.0061 0.0078 0.0098 0.0120
7 0.0001 0.0002 0.0003 0.0005 0.0008 0.0011 0.0015 0.0020 0.0027 0.0034
8 0.0000 0.0000 0.0001 0.0001 0.0001 0.0002 0.0003 0.0005 0.0006 0.0009
9 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0002
L
X 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.0
0 0.1225 0.1108 0.1003 0.0907 0.0821 0.0743 0.0672 0.0608 0.0550 0.0498
1 0.2572 0.2438 0.2306 0.2177 0.2052 0.1931 0.1815 0.1703 0.1596 0.1494
2 0.2700 0.2681 0.2652 0.2613 0.2565 0.2510 0.2450 0.2384 0.2314 0.2240
3 0.1890 0.1966 0.2033 0.2090 0.2138 0.2176 0.2205 0.2225 0.2237 0.2240
4 0.0992 0.1082 0.1169 0.1254 0.1336 0.1414 0.1488 0.1557 0.1622 0.1680
5 0.0417 0.0476 0.0538 0.0602 0.0668 0.0735 0.0804 0.0872 0.0940 0.1008
6 0.0146 0.0174 0.0206 0.0241 0.0278 0.0319 0.0362 0.0407 0.0455 0.0504
7 0.0044 0.0055 0.0068 0.0083 0.0099 0.0118 0.0139 0.0163 0.0188 0.0216
8 0.0011 0.0015 0.0019 0.0025 0.0031 0.0038 0.0047 0.0057 0.0068 0.0081
9 0.0003 0.0004 0.0005 0.0007 0.0009 0.0011 0.0014 0.0018 0.0022 0.0027
10 0.0001 0.0001 0.0001 0.0002 0.0002 0.0003 0.0004 0.0005 0.0006 0.0008
11 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0002 0.0002
12 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001
L
X 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.0
0 0.0450 0.0408 0.0369 0.0334 0.0302 0.0273 0.0247 0.0224 0.0202 0.0183
1 0.1397 0.1340 0.1217 0.1135 0.1057 0.0984 0.0915 0.0850 0.0789 0.0733
